level,time_spent
1,5
1,11
1,5
1,11
1,7
1,3
1,3
1,4
1,5
1,3
1,4
1,19
1,8
1,3
1,3
1,4
1,4
1,4
1,7
1,4
1,3
1,12
1,3
1,8
1,3
1,4
1,3
1,6
1,15
1,3
1,3
1,6
1,3
1,6
1,11
1,3
1,3
1,13
1,3
1,14
1,3
1,3
1,6
1,4
1,5
1,5
1,9
1,4
1,5
1,3
1,5
1,3
1,10
1,9
1,4
1,3
1,3
1,7
1,4
1,4
1,3
1,7
1,3
1,5
1,8
1,5
1,6
1,5
1,14
1,3
1,6
1,5
1,4
1,4
1,5
1,4
1,4
1,5
1,6
1,8
1,8
1,3
1,16
1,3
1,21
1,4
1,4
1,13
1,3
1,4
1,5
1,7
2,16
2,22
2,12
2,20
2,12
2,7
2,13
2,11
2,32
2,9
2,7
2,19
2,8
2,12
2,18
2,11
2,11
2,18
2,10
2,9
2,10
2,13
2,10
2,7
2,28
2,8
2,12
2,11
2,15
2,15
2,24
2,13
2,27
2,8
2,30
2,7
2,7
2,7
2,15
2,8
2,10
2,14
2,16
2,10
2,11
2,10
2,9
2,16
2,25
2,9
2,19
2,8
2,14
2,12
2,9
2,9
2,18
2,14
2,15
2,10
2,14
2,13
2,13
2,10
2,9
2,16
2,12
2,11
2,17
2,18
2,14
2,8
2,16
2,40
2,8
2,32
2,14
2,24
2,11
2,7
2,11
2,12
3,25
3,46
3,26
3,32
3,14
3,21
3,24
3,21
3,49
3,38
3,19
3,13
3,18
3,28
3,26
3,20
3,21
3,24
3,14
3,21
3,20
3,21
3,12
3,18
3,35
3,18
3,29
3,26
3,19
3,23
3,41
3,25
3,40
3,50
3,12
3,16
3,21
3,15
3,28
3,18
3,22
3,15
3,17
3,29
3,33
3,16
3,16
3,29
3,22
3,15
3,19
3,25
3,22
3,25
3,23
3,26
3,22
3,24
3,17
3,17
3,21
3,22
3,20
3,25
3,38
3,21
3,61
3,17
3,47
3,29
3,55
3,12
3,20
3,21
4,6
4,5
4,3
4,3
4,10
4,10
4,4
4,6
4,4
4,5
4,8
4,4
4,4
4,4
4,4
4,8
4,4
4,4
4,11
4,3
4,10
4,11
4,6
4,4
4,5
4,8
4,4
4,19
4,27
4,15
4,38
4,55
4,6
4,3
4,4
4,4
4,3
4,3
4,3
4,3
4,3
4,3
4,7
4,6
4,3
4,3
4,3
4,3
4,3
4,4
4,6
4,10
4,37
4,7
4,8
4,3
4,4
4,7
4,8
4,10
4,10
4,4
4,4
4,7
4,6
4,8
4,5
4,4
4,28
4,17
4,5
4,15
4,19
4,4
4,5
4,14
4,14
5,23
5,20
5,11
5,46
5,11
5,24
5,19
5,77
5,16
5,13
5,12
5,22
5,13
5,15
5,16
5,12
5,13
5,10
5,20
5,14
5,65
5,42
5,60
5,62
5,74
5,13
5,7
5,10
5,16
5,20
5,30
5,20
5,44
5,18
5,10
5,45
5,17
5,24
5,37
5,32
5,25
5,17
5,25
5,12
5,55
5,8
5,93
5,70
5,17
5,25
5,17
5,11
5,92
5,73
6,37
6,28
6,19
6,21
6,32
6,36
6,30
6,22
6,31
6,30
6,17
6,28
6,22
6,22
6,20
6,18
6,28
6,24
6,95
6,71
6,119
6,78
6,97
6,27
6,18
6,15
6,11
6,26
6,36
6,37
6,30
6,51
6,27
6,23
6,84
6,23
6,32
6,47
6,40
6,35
6,35
6,29
6,70
6,14
6,128
6,26
6,36
6,49
6,21
6,100
6,87
7,6
7,6
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,5
7,3
7,2
7,3
7,5
7,6
7,2
7,4
7,10
7,7
7,11
7,3
7,10
7,3
7,2
7,4
7,6
7,8
7,7
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,10
7,5
7,6
7,3
7,7
7,5
7,5
7,5
7,28
7,4
7,3
7,8
7,26
7,4
7,7
7,56
7,10
7,4
7,7
7,5
8,9
8,9
8,16
8,6
8,5
8,9
8,8
8,6
8,6
8,6
8,9
8,15
8,13
8,16
8,20
8,7
8,19
8,9
8,20
8,7
8,9
8,10
8,13
8,11
8,7
8,9
8,5
8,5
8,14
8,11
8,10
8,10
8,13
8,10
8,8
8,10
8,32
8,17
8,12
8,23
8,47
8,11
8,10
8,82
8,14
8,19
8,13
8,10
9,32
9,26
9,29
9,13
9,28
9,23
9,19
9,36
9,39
9,35
9,11
9,17
9,30
9,20
9,24
9,21
9,20
9,33
9,25
9,14
9,23
9,24
9,36
9,24
9,23
9,23
9,18
9,88
9,20
9,70
9,44
9,37
9,58
9,30
9,39
9,105
9,25
9,29
9,22
9,18
10,7
10,5
10,5
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,3
10,2
10,3
10,2
10,5
10,2
10,4
10,2
10,2
10,3
10,4
10,4
10,7
10,15
10,6
10,4
10,4
10,8
10,3
10,3
10,8
10,13
10,26
10,3
10,2
10,2
10,5
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,5
10,28
10,6
10,4
10,5
10,4
10,17
10,2
10,4
10,19
10,7
10,11
10,5
10,3
10,5
10,3
10,4
10,28
10,11
10,8
10,6
10,6
11,14
11,30
11,4
11,5
11,7
11,4
11,6
11,18
11,8
11,31
11,5
11,9
11,11
11,15
11,6
11,10
11,11
11,17
11,11
11,20
11,17
11,41
11,16
11,12
11,16
11,22
11,25
11,4
11,4
11,7
11,4
11,4
11,7
11,4
11,4
11,10
11,6
11,31
11,89
11,13
11,23
11,14
11,11
11,122
11,6
11,6
11,42
11,35
11,16
11,28
11,14
11,24
11,14
11,27
11,248
11,42
11,24
11,18
11,24
12,11
12,77
12,18
12,43
12,24
12,11
12,55
12,35
12,82
12,16
12,23
12,164
12,42
12,54
12,79
12,15
12,173
12,42
12,66
12,8
12,35
12,238
12,32
12,68
12,198
12,36
12,243
12,31
12,43
12,102
12,65
12,52
12,81
12,282
12,148
12,118
12,41
